Adana;LTAF;ADA;Şakirpaşa Havalimanı;Sivil;36.9858855210114;35.29508264709625
Ankara;LTAC;ESB;Ankara Esenboğa Havalimanı;Sivil;40.11519191844011;32.99294151766654
Antalya;LTAI;AYT;Antalya Havalimanı;Sivil/Askeri;36.904521342711774;30.80240249087683
Alanya;LTFG;GZP;Gazipaşa Havalimanı;Sivil;36.29761272189966;32.301695669817875
Balıkesir;LTFD;EDO;Balıkesir Koca Seyit Havalimanı;Sivil;39.54908349066814;27.011894313944403
Bursa;LTBR;YEI;Bursa Yenişehir Havalimanı;Sivil/Askeri;40.257910412097495;29.54435730787596
Çanakkale;LTBH;CKZ;Çanakkale Havalimanı;Sivil/Askeri;40.13916419744532;26.424195809718793
Denizli;LTAY;DNZ;Denizli Çardak Havalimanı;Sivil/Askeri;37.77416850203896;29.690763705917718
Diyarbakır;LTCC;DIY;Diyarbakır Havalimanı;Sivil/Askeri;37.90065413078647;40.18482195194877
Elazığ;LTCA;EZS;Elazığ Havalimanı;Sivil/Askeri;38.600478743133266;39.26819721759883
Erzurum;LTCE;ERZ;Erzurum Havalimanı;Sivil/Askeri;39.96156332886229;41.1797619520399
Eskişehir;LTBY;AOE;Hasan Polatkan Havalimanı;Sivil;39.81290837428675;30.528869480868522
Gaziantep;LTAJ;GZT;Gaziantep Havalimanı;Sivil;36.94383744048545;37.477041284439906
Hatay;LTDA;HTY;Hatay Havalimanı;Sivil;36.36425210301114;36.282158240238225
Isparta;LTFC;ISE;Isparta Süleyman Demirel Havalimanı;Sivil;37.85903186817825;30.367348239008912
İstanbul;LTFM;IST;İstanbul Havalimanı;Sivil;41.276990147441595;28.730118127516736
İstanbul;LTFJ;SAW;Sabiha Gökçen Havalimanı;Sivil;40.9055169290509;29.31734309441194
İzmir;LTBJ;ADB;Adnan Menderes Havalimanı;Sivil;38.29221620883341;27.14925093292728
Kars;LTCF;KSY;Kars Harakani Havalimanı;Sivil;40.56625862691413;43.11108478275117
Kayseri;LTAU;ASR;Erkilet Havalimanı;Sivil/Askeri;38.76548004979438;35.48302797712536
Kocaeli;LTBQ;KCO;Cengiz Topel Havalimanı;Sivil/Askeri;40.73903684164837;30.097717407897946
Konya;LTAN;KYA;Konya Havalimanı;Sivil/Askeri;37.98521809496546;32.57716503291397
Kütahya;LTBZ;KZR;Zafer Havalimanı;Sivil;39.11718229717972;30.133148382685697
Malatya;LTAT;MLX;Malatya Havalimanı;Sivil/Askeri;38.439690652582875;38.10503840594655
Muğla;LTBS;DLM;Dalaman Havalimanı;Sivil/Askeri;36.71831107394647;28.793724892379153
Muğla;LTFE;BJV;Milas-Bodrum Havalimanı;Sivil/Askeri;37.248869479999065;27.66451820959172
Nevşehir;LTAZ;NAV;Nevşehir Kapadokya Havalimanı;Sivil;38.77212770043915;34.52507780965778
Ordu-Giresun;LTCB;OGU;Ordu-Giresun Havalimanı;Sivil;40.965119303250226;38.08108340605995
Rize-Artvin;LTFO;RZV;Rize-Artvin Havalimanı;Sivil;41.174558328110336;40.84553777908253
Samsun;LTFH;SZF;Samsun Çarşamba Havalimanı;Sivil;41.257834502865656;36.555811225112
Sinop;LTCM;NOP;Sinop Havalimanı;Sivil;42.020017588723775;35.08274831960272
Sivas;LTAR;VAS;Sivas Nuri Demirağ Havalimanı;Sivil;39.80238040683871;36.89298893484247
Şanlıurfa;LTCS;GNY;Şanlıurfa GAP Havalimanı;Sivil;37.44564184924169;38.905035353777514
Tekirdağ;LTBU;TEQ;Tekirdağ Çorlu Havalimanı;Sivil/Askeri;41.127511393503205;27.91049198092872
Trabzon;LTCG;TZX;Trabzon Havalimanı;Sivil;40.995297638877126;39.78032434422727
Uşak;LTBO;USQ;Uşak Havalimanı;Sivil/Askeri;38.67976203054593;29.482189011501912
Van;LTCI;VAN;Van Ferit Melen Havalimanı;Sivil/Askeri;38.46913237450266;43.3378800040995
Zonguldak;LTAS;ONQ;Zonguldak Havalimanı;Sivil;41.50691995155282;32.0909092079335
Adıyaman;LTCP;ADF;Adıyaman Havalimanı;Sivil;37.73662358860765;38.47053061940952
Ağrı;LTCO;AJI;Ağrı Ahmed-i Hani Havalimanı;Sivil;39.65470253453127;43.02131287901318
Amasya;LTAP;MZH;Amasya Merzifon Havalimanı;Sivil/Askeri;40.82809525457483;35.50398703673737
Aydın;LTBD;CII;Aydın Çıldır Havalimanı;Sivil;37.81758785610348;27.890556103334042
Balıkesir;LTBF;BZI;Balıkesir Merkez Havalimanı;Sivil/Askeri;39.61712778852194;27.92380468270799
Batman;LTCJ;BAL;Batman Havalimanı;Sivil/Askeri;37.9463301845701;41.12108968688669
Bingöl;LTCU;BGG;Bingöl Havalimanı;Sivil;38.85857065369059;40.591046905965044
Bursa;LTBE;BTZ;Bursa Yunuseli Havalimanı;Sivil/Askeri;40.23079612629905;29.01261777053493
Çanakkale;LTFK;GKD;Gökçeada Havalimanı;Sivil;40.19958422325265;25.886071244101853
Erzincan;LTCD;ERC;Erzincan Yıldırım Akbulut Havalimanı;Sivil/Askeri;39.71744187256188;39.521419786964685
Eskişehir;Yok;Yok;Sivrihisar Havacılık Merkezi S.H.M.;Sivil;39.29707124384669;31.48617691411101
Hakkâri;LTCW;YKO;Hakkâri Yüksekova Selahaddin Eyyubi Havalimanı;Sivil;37.54664358060292;44.25612486037823
Iğdır;LTCT;IGD;Iğdır Şehit Bülent Aydın Havalimanı;Sivil;39.980743372257784;43.88009219436976
İstanbul;LTBW;Yok;İstanbul Hezarfen Havalimanı;Sivil;41.10315759194502;28.5510976981177
İzmir;LTFB;IZM;Selçuk-Efes Havalimanı;Sivil;37.94965053718181;27.33817733476067
Kahramanmaraş;LTCN;KCM;Kahramanmaraş Havalimanı;Sivil;37.53966239375345;36.967382176516516
Kastamonu;LTAL;KFS;Kastamonu Havalimanı;Sivil;41.31683618492527;33.80052910792457
Mardin;LTCR;MQM;Mardin Havalimanı;Sivil;37.23439049512301;40.637903377059075
Muş;LTCK;MSR;Muş Havalimanı;Sivil/Askeri;38.76036066243596;41.64763231150545
Siirt;LTCL;SXZ;Siirt Havalimanı;Sivil;37.97843828283005;41.8421669101786
Şırnak;LTCV;NKT;Şırnak Şerafettin Elçi Havalimanı;Sivil;37.361723392087214;42.055709288709835
Tokat;LTAW;TJK;Tokat Havalimanı;Sivil;40.31797421820416;36.38221873061376
Adana;LTAG;UAB;İncirlik Hava Üssü;Askeri;36.998196782340024;35.418114036568184
Afyonkarahisar;LTAH;AFY;Afyon Havalimanı;Askeri;38.73144372532406;30.59092185874059
Ankara;LTAB;Yok;Güvercinlik Havalimanı;Askeri;39.9350014;32.740799
Ankara;LTAE;Yok;Mürted Hava Üssü;Askeri;40.0788994;32.5656013
Ankara;LTAD;ANK;Etimesgut Havalimanı;Askeri;39.9497986;32.6885986
Balıkesir;LTBG;BDM;Bandırma Havalimanı;Askeri;40.3180008;27.9776993
Edirne;LTFL;Yok;Keşan Hava Üssü;Askeri;40.787277450239884;26.60738975392577
Eskişehir;LTBI;ESK;Eskişehir Hava Üssü;Askeri;39.4702;30.3455
Eskişehir;LTAV;Yok;Sivrihisar Hava Üssü;Askeri;39.470290;30.345560
İstanbul;LTBX;Yok;Samandıra Hava Üssü;Askeri;40.593471;29.125954
İzmir;LTBL;IGL;Çiğli Hava Üssü;Askeri;38.513429077382305;27.025989546990104
İzmir;LTBK;Yok;Gaziemir Hava Üssü;Askeri;38.1908;27.0933
İzmir;LTFA;Yok;Kaklıç Hava Üssü;Askeri;38.2108;27.0933
Kütahya;LTBN;Yok;Kütahya Hava Üssü;Askeri;39.2536;30.0100
Malatya;LTAO;Yok;Malatya Tulga Havalimanı;Askeri;39.253615;30.010074
Manisa;LTBT;Yok;Akhisar Hava Üssü;Askeri;38.483199;27.500190
Muğla;LTBV;BXN;Imsık Havalimanı;Askeri;	37.082452;27.401098
Yalova;LTBP;Yok;Yalova Hava Üssü;Askeri;40.410367;29.223262
